,event-1,event-2,event-3,event-4,event-5,event-6,event-7,event-8,event-9,event-10,event-11,event-12,event-13,event-14,event-15,event-16,event-17,event-18,event-19,event-20,event-21,event-22,event-23,event-24,event-25,event-26,event-27,event-28,event-29,event-30,event-31,event-32,event-33,event-34,event-35,event-36,event-37,event-38,event-39,event-40,event-41,event-42,event-43,event-44,event-45,event-46,event-47,event-48,event-49,event-50,event-51
0,19821225,19830125,19840207,19841207,19850111,19851219,19860207,19861201,19870212,19871213,19880207,19890126,19900217,19910115,19910202,19911207,19920112,19931206,19940102,19950108,19951201,19981231,19990124,19990211,20000201,20001215,20011207,20020213,20021215,20030210,20041221,20051222,20070105,20070130,20090201,20091229,20100217,20101204,20101223,20110110,20110131,20120116,20130207,20131217,20140109,20141206,20141229,20151214,20180101,20180119,20180222
1,19821226,19830126,19840208,19841208,19850113,19851220,19860208,19861202,19870215,19871214,19880208,19890127,19900218,19910116,19910204,19911208,19920114,19931207,19940103,19950109,19951202,19990101,19990125,19990212,20000205,20001216,20011208,20020214,20021216,20030211,20041222,20051223,20070106,20070201,20090202,20091230,20100218,20101205,20101226,20110111,20110201,20120117,20130208,20131218,20140110,20141207,20141230,20151215,20180102,20180120,20180223
2,19821227,19830127,19840209,19841209,19850120,19851221,19860209,19861203,19870216,19871215,19880209,19890128,19900219,19910117,19910205,19911209,19920115,19931208,19940104,19950110,19951203,19990102,19990126,19990213,20000206,20001217,20011209,20020215,20021217,20030212,20041223,20051224,20070107,20070204,20090203,20091231,20100219,20101206,20101227,20110112,20110203,20120118,20130209,20131219,20140111,20141208,20141231,20151216,20180103,20180121,20180224
3,19821228,19830128,19840210,19841210,19850121,19851222,19860210,19861204,19870217,19871216,19880210,19890129,19900220,19910118,19910206,19911210,19920116,19931209,19940105,19950111,19951204,19990103,19990127,19990214,20000207,20001218,20011210,20020216,20021218,20030213,20041224,20051225,20070108,20070205,20090204,20100101,20100220,20101207,20101228,20110117,20110205,20120119,20130210,20131220,20140112,20141209,20150101,20151217,20180104,20180122,20180225
4,19821229,19830129,19840211,19841211,19850122,19851223,19860211,19861205,19870218,19871217,19880211,19890130,19900221,19910119,19910207,19911211,19920117,19931210,19940106,19950112,19951205,19990104,19990128,19990215,20000208,20001219,20011211,20020217,20021219,20030214,20041225,20051226,20070109,-9999,20090205,20100102,20100221,20101208,20101229,20110118,-9999,20120120,20130211,20131221,20140113,20141210,20150102,20151218,20180105,20180123,20180226
5,19821230,19830130,19840212,19841214,19850123,19851224,19860212,19861206,19870219,19871218,19880212,19890131,19900222,19910120,19910208,19911212,19920118,19931211,19940107,19950113,-9999,19990105,19990129,19990216,20000209,20001220,20011212,20020218,20021220,20030215,20041226,20051227,20070110,-9999,20090206,20100103,20100222,20101209,-9999,20110119,-9999,20120121,20130212,20131222,20140114,20141211,20150103,20151219,20180106,20180124,20180227
6,19821231,-9999,-9999,19841215,19850124,19851225,-9999,19861207,19870220,19871219,-9999,19890201,-9999,19910121,-9999,-9999,-9999,19931212,-9999,19950114,-9999,19990106,-9999,19990217,20000210,-9999,20011213,-9999,-9999,20030216,-9999,-9999,20070111,-9999,20090207,20100105,20100223,-9999,-9999,-9999,-9999,-9999,20130213,20131223,20140115,20141212,-9999,20151220,-9999,-9999,-9999
7,19830101,-9999,-9999,19841216,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19890202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20011214,-9999,-9999,-9999,-9999,-9999,20070112,-9999,20090208,20100106,-9999,-9999,-9999,-9999,-9999,-9999,20130214,-9999,-9999,20141213,-9999,20151221,-9999,-9999,-9999
8,19830102,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19890203,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20011215,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20090209,20100107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
9,19830104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20011216,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20090210,20100108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
