time,x,y,amp,phase
1981-01-01,1.6023293,0.27453297,1.6256776,1.0
1981-01-02,1.6706161,0.011231466,1.6706539,1.0
1981-01-03,1.6101096,-0.43737653,1.6684576,1.0
1981-01-04,1.367638,-0.9717975,1.6777438,2.0
1981-01-05,0.93692887,-1.4427321,1.720265,2.0
1981-01-06,0.36823288,-1.7003249,1.7397414,3.0
1981-01-07,-0.24091513,-1.6444956,1.6620487,3.0
1981-01-08,-0.77093714,-1.2592983,1.476542,4.0
1981-01-09,-1.1132525,-0.6201195,1.2743152,4.0
1981-01-10,-1.2005045,0.12796564,1.2073054,5.0
1981-01-11,-1.0246086,0.8126093,1.3077296,6.0
1981-01-12,-0.6375962,1.2827672,1.4324875,6.0
1981-01-13,-0.13601394,1.4476132,1.453989,7.0
1981-01-14,0.36519015,1.2943045,1.3448375,7.0
1981-01-15,0.76057273,0.8811601,1.1640077,8.0
1981-01-16,0.9755847,0.31152484,1.0241158,1.0
1981-01-17,0.9763713,-0.30027175,1.021501,1.0
1981-01-18,0.76758134,-0.85798484,1.151225,2.0
1981-01-19,0.38203064,-1.298186,1.3532311,3.0
1981-01-20,-0.13169417,-1.5881814,1.5936321,3.0
1981-01-21,-0.7181296,-1.7120414,1.8565547,4.0
1981-01-22,-1.3176544,-1.6545827,2.1151495,4.0
1981-01-23,-1.8642873,-1.3936019,2.3275938,4.0
1981-01-24,-2.2830262,-0.90646195,2.456396,5.0
1981-01-25,-2.492209,-0.18998115,2.4994395,5.0
1981-01-26,-2.4146292,0.7146238,2.5181584,5.0
1981-01-27,-1.9971768,1.7041558,2.625426,6.0
1981-01-28,-1.2341316,2.614806,2.8914168,6.0
1981-01-29,-0.18585633,3.248154,3.2534668,7.0
1981-01-30,1.0159199,3.4183936,3.5661616,7.0
1981-01-31,2.1821232,3.008379,3.7164507,8.0
1981-02-01,3.0998752,2.016669,3.698132,8.0
1981-02-02,3.5791042,0.57824105,3.6255138,1.0
1981-02-03,3.5004327,-1.051708,3.6550128,1.0
1981-02-04,2.850568,-2.5503542,3.8249242,2.0
1981-02-05,1.733759,-3.6038897,3.9992425,2.0
1981-02-06,0.35409248,-3.987284,4.002976,3.0
1981-02-07,-1.0283004,-3.6239955,3.7670605,3.0
1981-02-08,-2.156311,-2.6075866,3.3836644,4.0
1981-02-09,-2.83462,-1.1781785,3.069719,4.0
1981-02-10,-2.9724553,0.33986387,2.9918218,5.0
1981-02-11,-2.5991905,1.6211126,3.0632982,6.0
1981-02-12,-1.849483,2.4192636,3.0452297,6.0
1981-02-13,-0.9233255,2.6220047,2.779827,7.0
1981-02-14,-0.033175778,2.2665987,2.2668414,7.0
1981-02-15,0.64678603,1.5145576,1.646881,8.0
1981-02-16,1.0159839,0.5960043,1.1778983,8.0
1981-02-17,1.0596484,-0.25748602,1.0904833,1.0
1981-02-18,0.837619,-0.8710518,1.208444,2.0
1981-02-19,0.45625597,-1.1600878,1.2465847,3.0
1981-02-20,0.03400646,-1.1329896,1.1334999,3.0
1981-12-01,-2.8678222,0.38040206,2.8929415,5.0
1981-12-02,-2.529109,1.4151213,2.8980958,6.0
1981-12-03,-1.8875434,2.0606923,2.7945075,6.0
1981-12-04,-1.1016324,2.2511096,2.5062099,6.0
1981-12-05,-0.32816163,2.0515785,2.0776584,7.0
1981-12-06,0.319531,1.6192453,1.6504713,7.0
1981-12-07,0.7935171,1.1392066,1.3883303,8.0
1981-12-08,1.1086788,0.7591802,1.3436977,8.0
1981-12-09,1.3194141,0.5451049,1.4275829,1.0
1981-12-10,1.4862822,0.4712611,1.5592055,1.0
1981-12-11,1.6458647,0.4455118,1.7050958,1.0
1981-12-12,1.7948958,0.35770538,1.8301923,1.0
1981-12-13,1.8936534,0.13154218,1.8982166,1.0
1981-12-14,1.8860173,-0.24013624,1.9012434,1.0
1981-12-15,1.7273068,-0.6896853,1.8599072,1.0
1981-12-16,1.4082606,-1.1001171,1.7870243,2.0
1981-12-17,0.965237,-1.3512852,1.6606187,2.0
1981-12-18,0.47220236,-1.3685555,1.447729,3.0
1981-12-19,0.017215341,-1.1547579,1.1548861,3.0
1981-12-26,-0.96171486,-0.54028034,1.1030858,4.0
1981-12-27,-1.1566517,-0.43250868,1.2348711,5.0
1981-12-28,-1.261321,0.0015329005,1.2613219,5.0
1981-12-29,-1.1555899,0.7361107,1.3701267,6.0
1981-12-30,-0.7514046,1.6167841,1.7828628,6.0
1981-12-31,-0.035616007,2.3930755,2.3933403,7.0
1982-01-01,0.9063195,2.7889447,2.932512,7.0
1982-01-02,1.8963333,2.590829,3.2106814,8.0
1982-01-03,2.7010307,1.7256836,3.205238,8.0
1982-01-04,3.0917437,0.3028364,3.1065397,1.0
1982-01-05,2.9108107,-1.3965541,3.2284954,2.0
1982-01-06,2.124327,-2.9829981,3.6621091,2.0
1982-01-07,0.84443706,-4.059185,4.1460896,3.0
1982-01-08,-0.6875397,-4.3293796,4.383633,3.0
1982-01-09,-2.1545978,-3.6857502,4.269315,4.0
1982-01-10,-3.2407215,-2.2455387,3.9426792,4.0
1982-01-11,-3.7101207,-0.3269096,3.7244954,5.0
1982-01-12,-3.4671774,1.6308215,3.8315659,6.0
1982-01-13,-2.580423,3.1805305,4.095651,6.0
1982-01-14,-1.2639698,3.9823332,4.178109,7.0
1982-01-15,0.17820686,3.8881211,3.8922029,7.0
1982-01-16,1.4293978,2.9725873,3.2984016,8.0
1982-01-17,2.2373686,1.5036435,2.6956933,8.0
1982-01-18,2.4709973,-0.13721801,2.4748044,1.0
1982-01-19,2.1423154,-1.5600168,2.650126,2.0
1982-01-20,1.3903471,-2.4659977,2.8309379,2.0
1982-01-21,0.43407685,-2.7143617,2.748851,3.0
1982-01-22,-0.4899374,-2.3397899,2.3905346,3.0
1982-01-23,-1.1867355,-1.5202509,1.9286016,4.0
1982-01-24,-1.543041,-0.50949395,1.6249799,5.0
1982-01-25,-1.5396706,0.44187242,1.601823,5.0
1982-01-26,-1.2369485,1.1515443,1.6899987,6.0
1982-01-27,-0.74197626,1.5386653,1.7082212,6.0
1982-01-28,-0.17108884,1.6190834,1.6280978,7.0
1982-01-29,0.37959036,1.4702882,1.518498,7.0
1982-01-30,0.8474048,1.1834167,1.4555309,8.0
1982-01-31,1.1993634,0.8226673,1.4543912,8.0
1982-02-01,1.4172804,0.4077664,1.4747736,1.0
1982-02-02,1.48183,-0.07523406,1.4837385,1.0
1982-02-03,1.3651645,-0.6416601,1.5084435,2.0
1982-02-04,1.0373411,-1.2704815,1.6401829,2.0
1982-02-05,0.48508042,-1.8800638,1.941634,3.0
1982-02-06,-0.265011,-2.331598,2.3466103,3.0
1982-02-07,-1.1300572,-2.4636579,2.7104685,4.0
1982-02-08,-1.9716287,-2.1484864,2.916044,4.0
1982-02-09,-2.6183503,-1.3504531,2.946096,4.0
1982-02-10,-2.9071105,-0.16367596,2.9117143,5.0
1982-02-11,-2.7317314,1.1891527,2.9793355,6.0
1982-02-12,-2.0833642,2.4024608,3.1799724,6.0
1982-02-13,-1.067506,3.168243,3.343252,7.0
1982-02-14,0.11133152,3.2680986,3.2699945,7.0
1982-02-15,1.1963615,2.6473389,2.9051135,8.0
1982-02-16,1.9451883,1.4450223,2.4231894,8.0
1982-02-17,2.1973531,-0.033625577,2.1976104,1.0
1982-02-18,1.9218953,-1.3979017,2.3765123,2.0
1982-02-19,1.2290028,-2.2832415,2.5929983,2.0
1982-02-20,0.34025508,-2.4602482,2.4836657,3.0
1982-02-21,-0.4752529,-1.9067068,1.9650435,3.0
1982-02-22,-0.9805532,-0.8184464,1.2772388,4.0
1982-02-23,-1.0422046,0.44657636,1.1338522,6.0
1982-02-24,-0.6712021,1.47563,1.6211096,6.0
