Title=Specific humidity from ERA5 pressure-levels oper specific_humidity 19800101-19800131

Legend=(level, lat, lon) = (100, -17.5, 135)
time (hours since 1900-01-01 00:00:00.0)	q (kg kg**-1)
701267.500000	0.000002
701291.500000	0.000002
701315.500000	0.000001
701339.500000	0.000001
701363.500000	0.000002
701387.500000	0.000001
701411.500000	0.000002
701435.500000	0.000002
701459.500000	0.000002
701483.500000	0.000002
701507.500000	0.000001
701531.500000	0.000002
701555.500000	0.000003
701579.500000	0.000003
701603.500000	0.000002
701627.500000	0.000002
701651.500000	0.000002
701675.500000	0.000002
701699.500000	0.000002
701723.500000	0.000002
701747.500000	0.000003
701771.500000	0.000002
701795.500000	0.000002
701819.500000	0.000002
701843.500000	0.000002
701867.500000	0.000002
701891.500000	0.000003
701915.500000	0.000003
701939.500000	0.000003
701963.500000	0.000003
701987.500000	0.000002
702011.500000	0.000002
702035.500000	0.000002
702059.500000	0.000002
702083.500000	0.000002
702107.500000	0.000002
702131.500000	0.000001
702155.500000	0.000001
702179.500000	0.000002
702203.500000	0.000002
702227.500000	0.000002
702251.500000	0.000002
702275.500000	0.000002
702299.500000	0.000002
702323.500000	0.000002
702347.500000	0.000002
702371.500000	0.000003
702395.500000	0.000002
702419.500000	0.000002
702443.500000	0.000002
702467.500000	0.000002
702491.500000	0.000002
702515.500000	0.000001
702539.500000	0.000002
702563.500000	0.000002
702587.500000	0.000002
702611.500000	0.000002
702635.500000	0.000002
702659.500000	0.000002
702683.500000	0.000002
702707.500000	0.000002
702731.500000	0.000002
702755.500000	0.000002
702779.500000	0.000002
702803.500000	0.000002
702827.500000	0.000002
702851.500000	0.000002
702875.500000	0.000002
702899.500000	0.000002
702923.500000	0.000002
702947.500000	0.000002
702971.500000	0.000002
702995.500000	0.000002
703019.500000	0.000002
703043.500000	0.000002
703067.500000	0.000002
703091.500000	0.000001
703115.500000	0.000001
703139.500000	0.000001
703163.500000	0.000001
703187.500000	0.000002
703211.500000	0.000002
703235.500000	0.000002
703259.500000	0.000002
703283.500000	0.000002
703307.500000	0.000002
703331.500000	0.000002
703355.500000	0.000002
703379.500000	0.000003
703403.500000	0.000003
703427.500000	0.000003
703451.500000	0.000003
703475.500000	0.000003
703499.500000	0.000003
703523.500000	0.000003
703547.500000	0.000002
703571.500000	0.000002
703595.500000	0.000002
703619.500000	0.000002
703643.500000	0.000003
703667.500000	0.000002
703691.500000	0.000002
703715.500000	0.000002
703739.500000	0.000003
703763.500000	0.000003
703787.500000	0.000002
703811.500000	0.000002
703835.500000	0.000002
703859.500000	0.000002
703883.500000	0.000003
703907.500000	0.000002
703931.500000	0.000002
703955.500000	0.000002
703979.500000	0.000002
704003.500000	0.000003
704027.500000	0.000002
704051.500000	0.000002
704075.500000	0.000002
704099.500000	0.000002
704123.500000	0.000003
704147.500000	0.000003
704171.500000	0.000003
704195.500000	0.000003
704219.500000	0.000002
704243.500000	0.000002
704267.500000	0.000002
704291.500000	0.000002
704315.500000	0.000002
704339.500000	0.000003
704363.500000	0.000003
704387.500000	0.000002
704411.500000	0.000002
704435.500000	0.000002
704459.500000	0.000002
704483.500000	0.000003
704507.500000	0.000002
704531.500000	0.000002
704555.500000	0.000003
704579.500000	0.000003
704603.500000	0.000002
704627.500000	0.000003
704651.500000	0.000002
704675.500000	0.000003
704699.500000	0.000003
704723.500000	0.000002
704747.500000	0.000002
704771.500000	0.000002
704795.500000	0.000002
704819.500000	0.000003
704843.500000	0.000003
704867.500000	0.000003
704891.500000	0.000002
704915.500000	0.000002
704939.500000	0.000002
704963.500000	0.000002
704987.500000	0.000002
705011.500000	0.000002
705035.500000	0.000002
705059.500000	0.000002
705083.500000	0.000002
705107.500000	0.000003
705131.500000	0.000003
705155.500000	0.000003
705179.500000	0.000003
705203.500000	0.000003
705227.500000	0.000003
705251.500000	0.000003
705275.500000	0.000003
705299.500000	0.000002
705323.500000	0.000002
705347.500000	0.000003
705371.500000	0.000003
705395.500000	0.000003
705419.500000	0.000003
705443.500000	0.000003
705467.500000	0.000003
705491.500000	0.000003
705515.500000	0.000003
705539.500000	0.000003
705563.500000	0.000003
705587.500000	0.000003
705611.500000	0.000003
705635.500000	0.000003
705659.500000	0.000003
705683.500000	0.000003
705707.500000	0.000003
705731.500000	0.000003
705755.500000	0.000003
705779.500000	0.000003
705803.500000	0.000003
705827.500000	0.000003
705851.500000	0.000003
705875.500000	0.000003
705899.500000	0.000003
705923.500000	0.000003
705947.500000	0.000004
705971.500000	0.000003
705995.500000	0.000003
706019.500000	0.000003
706043.500000	0.000003
706067.500000	0.000003
